id,msg
1,무라코
2,카야
3,파파루
4,공용
5,남은 스킬 포인트
6,현재 레벨
7,다음 레벨
8,획득
9,디펜스 모드 - 과거의 회상
10,디펜스 모드에 함께 할 성문을 선택하세요.
11,일회성 강화 아이템
12,스테이지 시작
13,취소
14,구입
15,확인
16,보석
17,금화
18,개를 구입 하시겠어요?
19,를 구입했어요!!
20,빅풋 상점
21,가격
22,이 부족해요.
23,가 부족해요.
24,을 구입할까요?
25,를 구입할까요?
26,을 구입했어요!!
27,아이템을 구매 하시겠어요?
28,정말 판매 하실건가요?
29,판매
30,확장
31,인벤토리가 가득 찼어요.
32,인벤토리가 가득 찼어요.\n인벤토리로 가서 정리하시겠어요?
33,행동력이 부족해요.
34,행동력을 전부 회복하고 진입할까요?
35,웨이브
36,진행 시간
37,주의 : 스킬 포인트 저장
38,저장하지 않은 스킬 포인트가 있어요! 저장하시겠어요?
39,아니오
40,네
41,필요
42,전체 특성 초기화
43,특성 포인트를 모두\n돌려 받으시겠어요?
44,공주님 구출 작전!!
45,주둔 병력 - 등장 유닛
46,현재 랭크
47,랭크 순위
48,연승 횟수
49,누적 승수
50,시즌 최고 랭크
51,위
52,연승
53,승
54,내 투기장 입장권
55,투기장 입장
56,투기장 상점 가기
57,투기장 보상 남은 시간
58,무라코
59,카야
60,파파루
61,{0:D2}일 {1:D2}시간 {2:D2}분
62,--일 --시간 --분
63,결과 정산 시점
64,시간이 얼마 남지 않았어요!\n12시가 넘으면 보상을 받지 못해요.\n그래도 괜찮으시겠어요?
65,주의 : 시간 촉박
66,입장
67,투기장 입장권이 부족해요.
68,투기장 입장권 10장을 구입할까요?
69,투기장 모드 - 용사의 전당
70,내 투기장 입장권
71,투기장이 리셋되었어요!
72,투기장 훈장
73,개 획득!
74,지난 주 내 투기장 성적
75,랭크
76,순위
77,지난주 최고 용사
78,디펜스 순위가 리셋되었어요!
79,지난 주 내 디펜스 성적
80,기록
81,현재 순위
82,현재 기록
83,레벨이 너무 낮아요!!
84,레벨이 너~무 낮아요!!\n최소한 {0}레벨 부터 만들고 오세요.
85,투기장
86,디펜스
87,무라코
88,카야
89,파파루
90,일반 모드
91,하드 모드
92,스테이지
93,스테이지 보상
94,주둔 병력 - 등장 유닛
95,등
96,이하
97,주의 : 현재 기록 삭제
98,현재 기록을 삭제하고\n새로운 기록으로 덮어 쓸 거에요.\n그래도 괜찮으시겠어요?
99,현재 기록 이어하기
100,디펜스 전투 시작하기
101,공격력
102,주문력
103,치명타
104,치명타 피해
105,생명력
106,생명력 회복
107,분노
108,분노 회복
109,기력
110,기력 회복
111,마나
112,마나 회복
113,물리 방어력
114,마법 저항력
115,물리 관통력
116,마법 관통력
117,행동력
118,생명력 흡수
119,을 보냈습니다.
120,현재 예상 주간 보상
121,{0:D2}일 {1:D2}시간 {2:D2}분 남았습니다.
122,운영자가 이벤트
123,를 보냈습니다.
124,멜버드의 우편함
125,보기
126,받기
127,이 럴 수 가 !!
128,상대방의 친구 목록이 가득 찼어요!!
129,저기요? 친구 목록이\n이미 가득 찼다구요!!
130,쳇!
131,일시 정지
132,왜요? 무슨 문제라도 있어요?\n집에 가고 싶어요?
133,계속하기
134,집으로
135,보내기
136,최근 접속
137,{0}개월 전
138,{0:D2}일 {1:D2}시간 전
139,{0:D2}시간 {1:D2}분 전
140,{0:D2}분 전
141,친구 요청
142,친구 수락
143,친구 삭제
144,셋트
145,받은 우편 {0}/{1}
146,보상 완료
147,보상 받기
148,코스튬
149,최고 기록
,
150,강화 능력치
151,1단계
152,2단계
153,3단계
154,4단계
155,아이템 합성
156,비용
157,내구도
158,원
159,각성 포인트
,
,
160,'{0}'업적의 보상으로
161,'{0}'일일 임무의 보상으로
162,{0}님이
163,{0}님에게 행동력을 보낸 답례로
164,운영자가 {0} 이벤트로
165,운영자에게서 문의하신 내용에 대한 답변이 왔습니다.
166,'{0}'레이드 피해량 1위 보상으로
167,'{0}'레이드에 참여한 보상으로
168,'{0}'에게 치명상을 입힌 보상으로
169,하급
170,중급
171,상급
172,희귀
173,전설
174,무기
175,투구
176,장갑
177,갑옷
178,바지
179,신발
180,반지
181,장신구
182,{0:D2}시간 {1:D2}분
183,--시간 --분
184,발견자
185,남은시간
186,내가 준 피해량
187,피해량 1위
188,전투 시작
189,제압 실패!!
190,저런!!\n보스가 이미 도망가 버렸어요!!
191,저런!!\n다른 유저가 이미 제압 해버렸어요!!
192,을 받았습니다.
193,를 받았습니다.
194,보스 클리어!!
195,마지막 일격!!
196,피해량 1위!!
197,보상은 우편에서 확인 할 수 있어요.
198,작전 실패!!
199,포기하고 마을가기
200,부활하기
201,스테이지 부활은 딱 한번만 가능해요.
202,인벤토리를 1페이지 확장하실래요?
203,인벤토리 확장
204,메달
205,은 투기장에서 얻을 수 있어요
206,맛있는 고기
207,사운드 켜짐           끄기
208,사운드 꺼짐           켜기
209,http://m.cafe.naver.com/thebigfoot
210,http://www.hungryapp.co.kr/bbs/list.php?bcode=bigfoot
211,https://www.mservicegame.com/question?gameSeq=16
212,로그 아웃
213,정말 로그 아웃 하시겠습니까?
214,회원 탈퇴
215,모든 정보가 삭제되고 복구할 수 없습니다.\n정말 탈퇴 하시겠습니까?
216,{0} 보상으로
217,이벤트 쿠폰 보상으로
218,고급 암거래 쿠폰
219,왜요? 무슨 문제라도 있어요?\n집에 가고 싶어요?
220,꿈에서 깨어나실래요?\n하지만..모든 기록을 잃게 되는데..\n괜찮으세요?
221,튜토리얼은 필요 없으신가봐요?\n하지만..다시 진행 할 수 없는데..\n괜찮으세요?
222,{0}회
223,{0}일{1:D2}시간{2:D2}분
224,{0}이 도착했습니다.
225,투기장 티켓
226,각성 포인트 초기화
227,남은 각성 포인트
228,추가 구매 가능 포인트
229,추가 포인트 구매
230,단계
231,포인트 사용
232,포인트 반납
233,각성 레벨
234,획득 골드
235,헬 모드
236,{0:}개월
237,{0:D2}일 {1:D2}시간
238,{0:D2}시간 {1:D2}분
239,{0:D2}분 {1:D2}초
240,체력 회복 물약
241,포인트 저장
242,한번 도전해봐!
243,[ff0000]{0}일[-] 남았어!
244,[ff0000]{0}시간[-] 남았어!
245,[ff0000]{0}분[-] 남았어!
246,[ff0000]{0}초[-] 남았어!
247,각성 포인트 초기화
248,"초기화 하면 저장한 포인트 1개당\n10,000골드씩 돌려받아요."
249,[ff0000](인벤토리 부족)[-] [000000]스토리 모드 보상으로
,
250,오른쪽의 아이템 중\n하나를 얻을 수 있어!\n어때?
251,[ff0000]이벤트[-] 기간 동안\n[ff0000]S급[-]을 얻을 확률이\n자그마치 두 배야!!
252,'{0}'발견 보상으로
253,즐겁게 게임하고 계신가요?\n리뷰를 부탁드려도 될까요?
254,격퇴!
255,최후의 일격
256,+{0} 강화
257,바로 가기
258,갈수 없음
259,합성 재료 구하기
260,!!!합성 {0}단계가 필요합니다!!!
261,암흑 상점으로 이동
262,투기장 상점으로 이동
263,{0} 강화되었습니다!
264,{0}단계 합성을 성공하셨습니다!
265,{0}단계
266,버프 패키지
267,해적 소탕 작전!!
268,이 해적들은 금화를 많이 가지고 있어요.
269,이 해적들은 강화 재료들을 가지고 있어요.
270,생각보다 일찍\n꿈에서 깨셨네요?
271,스테이지 선택
272,하드모드 던전 오픈!!
273,헬모드 던전 오픈!!
274,하드모드 던전이 열렸습니다!\n더 강력한 아이템과 보상에 도전하세요!!
275,헬모드 던전이 열렸습니다!\n더 강력한 아이템과 보상에 도전하세요!!
276,한번 더 하기
277,초대
278,{0} 한번 더 받기!
279,아이템 획득!
280,지원하지 않는 OS를 사용하는 유저입니다.
281,1일 초대 횟수 {0}회를 초과 하였습니다.
282,오늘 초대 가능 친구
283,명
284,카카오 친구 초대
285,{0}님에게 \n카카오톡으로 초대 메시지를 보냅니다.
286,[ff0000]{0}[-]으로 [ff0000]{1} {2}[-]개를 받았습니다.
287,합성 재료
288,카카오 회원 번호
289,초대메시지 수신을 차단한 유저입니다.
290,활성화 상태
291,비활성 상태
292,설정
293,강화 재료
294,강화 재료를 더 이상 추가 할 수 없어요!
295,기본
296,장착
297,초대메시지는 같은 수신자에게는 30일에 1번만 보낼 수 있습니다.
298,카카오 초대 메시지를 보내는데 문제가 발생했습니다.
299,메시지 수신을 차단한 사용자입니다.
,
,
321,내 노예가 되어라!
322,죽어라! 몬스터!!
323,노예가 늘어나겠군!!
324,여기가 네 무덤이다!
325,이녀석 좀 잡아!!
326,"파란 녀석, 꿰뚫어 주마!!"
327,"화살 맛을 봐라, 몬스터!"
328,여기까지다! 몬스터!!
329,몬스터 따위가!!
330,어머! 너 내 펫이 될래?
331,어디한번 덤벼보시지?
332,여기 몬스터다!! 잡아!!
333,잡아라!! 몬스터다!!
334,어디 한번 피해보시지!
335,끼요오오옷!!
336,거기 가만히 있어!
337,한방에 끝내주마!!
338,이리와!! 으흐흐
339,빛으로 너를 처단하겠다!
340,이단자에게 징벌을!!
341,징벌의 철퇴를 받아라!
342,오지마! 저리가!!
343,네놈을 제물로 바쳐주마!!
344,구워줄까?
345,불타라!! 몬스터야!!
346,뭐야? 경비!!\n경비병은 어디있나?!
347,이런! 깜빡졸았네!! \n이녀석 거기서!!
348,경비!! 경비병!!\n이 녀석이 감히!!
,
351,사냥을 시작하자!!
352,이놈이!!! 죽어! 죽어!! 죽어!!!
353,시작 해 볼까?!
354,바르님의 제물이 되어라!!
355,우리한테 걸리면 끝장이야!!
356,넌 이제 끝장이야!!
357,내 불길의 먹이가 되어라!!
358,빛으로 정화시켜 주마!!
359,으….으으아아아악!!!
360,이게..감..히!!!\n모든 것을 망쳐놓았구나!!!
361,날뛰는 것도 여기까지다!
362,이놈이 감히!!\n여기가 어디라고 날뛰는 것이냐!!
363,하! 네놈을 기다리고 있었다!
364,호오~ 대단한 녀석이네?
365,안타까워서 어떡해?\n여기가 네 무덤이란다!!
366,우리에게 도전하는거냐?
367,감히 도전하는거냐?
368,나는 불의 화신이다!!!
369,불순한 자여.\n빛의 심판을 받아라!
370,비켜라!\n이 멍청한 놈들!\n내가 직접 나서게 하는구나!!
371,끼~이야하! 아하하하하!!\n냐~ 하하하하하!!\n내가 온 이상 너흰 끝이야!!
372,네놈의 영혼이라도 가져가야 겠다!!
373,사냥감이 나타나셨군!!
374,어딜 막아서는 거냐?!\n너부터 잡아 가 주마!
375,끼~이야하하하!!\n넌 이제 내 노예다!!
376,오호~ 용감한 녀석이군!!\n제물이 되는 영광을 네게 주마!!
377,넌 이제 큰일났다!!
378,쿵! 쾅! 쿵! 쾅!!\n너의 심장 소리가 들리는 구나!!
379,네 이놈!!\n빛의 이름으로 정화시켜 주마!!
380,싱싱한 녀석이 들어왔군!!
381,나는 성기사단장 람스타르라고 한다!!
382,어째서 우리를 공격하는건가?\n큰 발을 가진 자여?
383,공주? 친구? 납치?\n그게 무슨 말인가?
384,그럴리가 없다. 오해가 있었던 것 같군.
385,(요새 이상한 소문이 들리긴 했었지만.. 설마 그럴리가?..)
386,할 수 없군.
387,잠깐. 당신에게서 진심이 느껴지는군.
388,당신과의 대결은 사실 확인 이후에 마무리 하기로 하지.
389,내가 바로!!\n골다제크님이시다!!
390,짜잔~\n카푸란카님 등! 장!!
391,이 보물들은 우리꺼야!!
392,이 금화들은 우리꺼야!!
393,{0}일
,
500,공주님이 잡혀갔다!!
501,그르르..
502,킁 킁
503,동족의 냄새가 나는군.
504,다들 구해줄게. 울지마.
505,서두르자!! 으랏차차!!
506,인간놈들!! 우리 공주님을!!
507,쿵! 하고 발로 차줄테다!
508,혼쭐을 내주마!!
509,기다려! 내가간다!!
510,이렇게 이렇게 이렇게 해주마!!
511,거기 꼼짝말고 있어!!
512,좋아! 누가 쎈지 붙어보자!
513,왕 있는 곳!! 공주님 찾는다!!
514,가자!! 무찌르자!!
515,내가왔다!! 혼내주마!!
516,성이다!! 들어간다!!
517,뭐야 여기!!
518,가자!! 혼내주자!!
519,강한 놈이있다!!\n으헤헤!!
520,이상한 곳이다!!
521,으헤헤.
522,으워어!
523,그르릉..
524,우린 몬스터 아니다!!
525,힘! 압도적인 힘!!
526,그게 나야. 으헤헤.
527,이게 전부야?!
528,공주님!! 여기도 없어!!
529,결국엔 내 승리다~!!
530,아프지? 아프지? 응??
531,들어간다!\n성에 들어간다!
532,멍충이들!!
533,이놈! 혼내준다!!
534,구해준다! 구해준다!!
535,보호막!! 싫다!! 사제!! 때린다!!
536,못 된 것들! 혼낸다!!
537,힘이 솟아난다~!!
538,너도 혼내준다!!
539,내가!! 언제나!!\n이긴다!!
540,아우! 목말라!!\n건조하다!!
541,비켜!
542,쓰러져라!! 쓰러져라!!
543,에헴!
544,성이다!! 인간의 성이다!!
545,화살! 싫다!!\n귀찮아!!
546,으~ 으~
547,쿵!! 하고 찍어 줄까?!
548,헤헤헤
549,으라차!
550,이상하다! 적이 별로 없다!!
551,나와라!! 싸우자!!
552,시끄러! 꼬꼬마!!
553,탑이다!! 높은 탑이다!!
554,"뭐야, 이것들!!"
555,악마다!! 시커먼 악마다!!
556,어쩌라고 멍충아!!\n덤벼!!
557,뭐래냐! 이녀석!!
558,공주님의 냄새다!!
559,공주님!! 내가 왔어요!!
560,으워어어!! 화가 난다!!
561,파파루 영감! 계획이 이거야?\n뭐? 암살?!\n그런걸 나보고 하라고?!!
562,아오!!\n이런건 정말 싫어!!
563,했다!! 파파루 영감!!\n했다고!!
564,...일단은..해야겠지..쳇!!
565,뭐야? 분위기가 이상한데?!
566,더 와봐!! 덤벼!!
567,뭐야! 벌써 끝이야?
568,인간! 나쁜 인간!!
569,납치해간 공주님과 친구들을 내놔!!
570,흥! 말도 안되는 소리!! 멍청이! 덤벼!!
571,인간이 몰려온다!! 막는다!!
572,더 온다!! 막는다!!
573,방어 준비해!! 
574,또 온다!!
575,또 온다!! 혼내 준다!!
576,쪼금 쎈 녀석이었네.
577,내가 더 쎄다!!
578,으흐흐하하!
579,몹시 화가 난다!!
580,덤벼!! 덤벼!! 으워어어!!
581,공주님은 내가 지킨다!!
582,이것들 정신없다!!
583,어우!! 으어!! 뜨거워!!
584,우아!! 많이 온다!!
585,더 와봐!! 와봐!!!
586,이겼다!!
587,내가 지켜냈다!!
588,와라!! 덤벼!!
589,어라?! 다른 놈들도 있다!!
590,이놈!! 또 혼내준다!!
591,이게 전부야?! 또 덤벼!!
592,또 쳐들어 왔다!!\n혼내준다!!
593,으헤헤!!\n내가 또 이겼다!!
594,나만 따라와!
595,뭐야! 잘 뛰잖아!!
596,으헤헤!!\n내가 더 쎄다!!
597,싸운다!! 이긴다!!!
598,으워!! 마을이 불타고 있다!!
599,확인 해보면 알거다!\n멍충아!
600,침략자들! 가만 안둘거야!!
601,후아~
602,으응?
603,여기에 누군가 있구나!
604,기다려요~ 내가 구해줄게.
605,바람처럼 빠르게!!
606,독 한방울 톡~ 묻히고~
607,어디 한 번 달려볼까요?
608,호홋! 후회하게 해줄게요~
609,불어라~ 차가운 바람아!!
610,어머~ 날씨는 왜 이렇게 좋아?
611,흥!! 후회 할텐데?!
612,하아? 이건 또 뭐야?!
613,여기가 왕실인가봐요?
614,바람이 불어 주네요~
615,쉿! 여기부터 살금 살금~
616,잠입 액션 시작!
617,여긴 또 뭐야?
618,슥 슥~ 하나씩!
619,조심! 심상치 않아요!!
620,히잉… 음산한 곳이잖아!
621,오호홋~
622,흥!
623,후~
624,몬스터라니? 한심해!
625,바람 같이 빠르다고요?
626,내가 좀 그래요~
627,여긴 더 이상 없네?
628,공주님은 어디있을까나?
629,여기도 정리 완료!!
630,공주님 내놔요. 당장!!
631,이제 성에 들어가 볼까요?
632,얼간이!
633,나쁜짓 했으니 혼나야죠?
634,공주님은 괜찮으려나?
635,보호막! 정말 귀찮군요!!
636,부끄러운 줄도 모르나 봐요?
637,내 움직임이 보이나요?
638,혼 날 시간이에요~
639,어머~ 빈틈들도 많으셔라!
640,건조해!! 피부 다 상하겠네!!
641,냄새나!
642,죽은척이라도 하시죠?
643,이~하~
644,드디어 성이 보이네요~
645,궁수들이 성질을 건드리네요!
646,치잇!
647,중독 시켜드릴까요?
648,씻어요!!
649,더러워!
650,어라? 뭔가 있을 듯 한데?
651,흥! 어서 나오시지?
652,왠지 짜증이 나네?
653,탑이네? 높기도 해라~
654,쌍..둥..이??
655,응?뭐야!!\n악마잖아?!
656,아~ 그러셨어요?!
657,웃기지도 않는군요!!
658,근처에 공주님이 있는듯 한데?
659,공주님!! 저 왔어요!!
660,저러고 싶을까?..
661,사절단이 지원군을 부르지 못하게 막아야 해요!!
662,다들 바보같이 자고 있어요!!
663,이런일 쯤이야!\n오~~호호홋!!
664,정예병들은 최대한 피해서 가보죠.
665,이런!!\n함정이잖아!!
666,덤벼요! 더 와봐요!!\n나도 못참아!!
667,훗!! 그정도 실력으로 덤볐어요?
668,뻔뻔하군요!
669,공주님과 친구들을 납치한 주제에!
670,답답한 부류였군요!\n흥! 덤벼요!
671,인간이에요! 여길 막아야 해요!!
672,다시 방어 태세를 갖춰요!
673,아직이에요!
674,더 와요!
675,왜이리 많아? 또 와요!!
676,쬐금 강한 적이었네요.
677,괴물 같은 녀석!!
678,방심은 금물!
679,성질 나올뻔 했네요!
680,이거.. 숫자가 너무 많은데?
681,공주님을 지켜야 해요!
682,희안한 녀석들이네.
683,후~ 화상 입었잖아!!
684,끊임없이 오네? 대체 뭐야?!
685,뭐야!! 끝이 없잖아?!!
686,우리가 이겼어요!!
687,공주님은 안전해요!!
688,히잉~ 장난 아닌데요?
689,뭐야?! \n다른 녀석들도 왔어요!!
690,쳇!! 확실히 끝내버릴걸!!
691,무식하게 힘만 쎄가지고!!
692,뭐야!!\n또 쳐들어 왔다 이거지?!
693,흥!!\n끝장을 내버릴걸!!
694,내 뒤에 바짝 붙어요~
695,머..멀쩡하잖아?!
696,어머~ 또 이겨버렸네?
697,자~ 시작 해 볼까요?
698,마을이 엉망이 되었네?!
699,이제야 말이 통하네요.\n흥!
700,이거.. 엉망이 되었구먼..
701,어디..
702,보자..
703,슬픔의 기운이 느껴지는군.
704,이 할애비가 도와주마.
705,숨 한번 고르고~홀 홀
706,혼 좀 나야겠네 이것들!
707,후..몸 좀 풀어볼까?
708,꽁 꽁 얼려주마 요놈들!
709,우리 공주님. 제가 갑니다.
710,사악한 기운이 느껴진다!!
711,허.. 이녀석이!!
712,이건..조심해야 되겠는걸?
713,여기가 왕실..인가?
714,북서풍이 불어 주는군!
715,자~ 슬 슬 가 볼까?
716,화려하게도 지어놨군.
717,뭐 이래! 여긴!
718,얼음 맛을 보여 주마!
719,느낌이 좋지 않은데?
720,마력으로 나무도 왜곡되었군.
721,허 허~
722,홀 홀
723,에구구~
724,몬스터? 무식한 것들.
725,어때? 얼음 맛이?
726,조~금 아팠을 거다.
727,여긴 정리 된 듯 하군.
728,공주님. 어디에 계십니까?
729,이쯤하면 정리 된건가?
730,공주님을 내놓아라!
731,성으로 들어가서 찾아보자.
732,둔한 것들!!
733,이녀석! 혼 좀 나야겠군!
734,공주님.. 무사하신지..
735,사제녀석들이 보호막을 쓰는구먼.
736,부끄러운 줄을 알아야지!!
737,으차차!! 에구 허리야…
738,요녀석! 혼내주마!!
739,마력의 노예들 같으니라고!
740,여긴 꽤나 건조하구먼.
741,비켜라!
742,누워있는게 편할거다.
743,어험~
744,여기가 성이로군.
745,이 녀석들 잘도 쏘아대는군.
746,허어~
747,눈사람이 되고 싶은 게냐?
748,얼어라!
749,헐~
750,성 입구 수비가 왜 이리 적지?
751,모습을 드러내라!
752,글쎄. 과연 그럴까?
753,저 탑이 마력의 근원지인가?
754,호오~ 희안한 녀석들이네?
755,이제서야 본 모습을 드러내는군!
756,나는 얼음의 화신이다!\n어..허..험
757,이놈!! 네 정체가 뭐냐?!
758,공주님이 느껴진다!!
759,공주님!! 제가 왔습니다!!
760,에휴..쯧 쯧
761,사절단의 지원요청을 막아야 한다!
762,이녀석들이 자고 있는 지금이 기회다!!
763,이걸로 한시름 놓았군..
764,정예병을 피해서 잠입하자!!
765,이런 실수를..\n함정이군!!
766,후..이거 원..\n몸살 나겠구먼!
767,아이구 삭신이야…
768,허… 모른척하긴가?
769,납치한 공주님과 친구들을 돌려다오!
770,말로는 안통하겠군.\n훈계 해 주마!
771,인간의 군대다! 여기서 막아야 한다!!
772,더 오는군.. 방어 준비!!
773,방어 준비!!
774,더 온다!!
775,슬 슬 허리가 아픈데..
776,꽤 하는 녀석이었어.
777,멧돼지 같은 놈이군.
778,에구 허리야..
779,삭신이 쑤시는 구먼..
780,왜 이리들 많이 몰려와?!
781,공주님..지켜드리겠습니다!!
782,정신없는 녀석들이군.
783,뭐야 이놈! 불덩이잖아!
784,이것들 대체…왜 이리 몰려와?
785,지긋 지긋한 녀석들…
786,우리가 승리했다!!
787,공주님.. 이제 안전합니다!!
788,허얼.. 뭐냐 네놈들!!
789,이런!! 연합군..인건가?!
790,이번엔 다시오기 힘들게다!
791,멧돼지 녀석! 다시는 보기 싫군!!
792,이 지긋지긋한 녀석들!!
793,요놈들!!\n혼쭐을 내줘야지!!
794,따라와.\n할애비가 도와주마.
795,저…저..\n멀쩡한 녀석이!!
796,좀 더 수련하고 오시게.
797,으랏차~ 힘 좀 써 볼까?
798,헐.. 이게 대체 무슨 일인가?!
799,이제서야 느꼈는가? 악의 기운을..
800,나 집에 갈래! 보내줘... 흑 흑
801,엄마 보고 싶어. 으헝~
802,"고마워! 이거, 너 가져!"
803,미안!! 난 줄게 없어!!
804,히잉..\n크게 다쳐버렸어요..
805,헉..헉.. 잠시만 쉬어요.
806,이제 좀 나아졌어요.\n어서 가요.
807,재료아이템은 액트{0}에서 얻을 수 있습니다.
808,재료아이템은 리더몬스터에게서 얻을 수 있습니다.
809,재료아이템은 전투상점에서 구입 할 수 있습니다.
810,우~와아!! 살았다~!!
,
1000,1단계
1001,2단계
1002,3단계
1003,4단계
1004,5단계
,
1006,[db0303]!! 인벤토리 부족 !! [000000]스테이지 보상으로
,
,
,
,
,
,
1010,투기장 모드 오픈!!
1011,투기장 모드가 열렸습니다!\n전설의 발에 도전 해 보세요!!
1012,디펜스 모드 오픈!!
1013,디펜스 모드가 열렸습니다!\n과거로 돌아가 빅풋 마을을 지켜주세요!!
,
1100,초대메시지는 같은 수신자에게는 30일에 1번만 보낼 수 있습니다.
1101,카카오 초대 메시지를 보내는데 문제가 발생했습니다.
1102,메시지 수신을 차단한 사용자입니다.
1103,지원하지 않는 OS를 사용하는 유저입니다.
1104,1일 초대 횟수 30회를 초과하였습니다.
1105,유저 정보를 가져 오는데 실패 했습니다. 로그아웃 됩니다.
1106,사용 가능한 닉네임입니다.
1107,카카오 친구 목록갱신에 실패했습니다.
,
8001,서버오류가 발생했습니다.
8002,서버오류가 발생했습니다.
8003,서버오류가 발생했습니다.
8004,서버오류가 발생했습니다.
8005,서버오류가 발생했습니다.
8006,서버오류가 발생했습니다.
8007,서버오류가 발생했습니다.
8008,서버오류가 발생했습니다.
8009,서버오류가 발생했습니다.
8010,서버오류가 발생했습니다.
8011,서버오류가 발생했습니다.
8012,서버오류가 발생했습니다.
8013,서버오류가 발생했습니다.
8014,서버오류가 발생했습니다.
9000,서버오류가 발생했습니다.
9001,계정생성시 계정아이디중복
9002,계정선택시 비번틀렸음
9003,골드가 부족합니다.
9004,캐쉬가 부족합니다.
9005,인벤토리 공간이 부족합니다.
9006,쿄스튬 인벤토리가 부족합니다.
9007,사용할 수 없는 문자가 들어 있습니다.
9008,닉네임은 2~8 자로 만들어 주세요.
9009,아이템의 강화 수치가 이미 30입니다!!
9010,합성할 아이템 강화가 맥스가 아이다.
9011,합성할 아이템 등급이 맥스다.
9012,합성될 아이템이 없다.
9013,행동력이 부족합니다.
9014,타겟을 찾을 수 없음.
9015,지금은 투기장에 들어 갈 수 없어요.\n오전 10시 이후에 오세요.
9016,티켓이 부족하다.
9017,랭킹데이터끝.
9018,스킬포인트가 모자라다.
9019,지금 꿈의 기록을 모으고 있어요.\n오전 10시 이후에 오세요.
9020,이용정지된 계정입니다.
9021,이미 열어본 메일입니다.
9022,친구 목록이 이미 가득 찼어요!!
9023,상대방의 친구 숫자가 가득 찼어요!!
9024,스태미너 제한시간이 걸렸음.
9025,너무 많은 상대에게 친구 요청을 보냈어요!!
9026,조건이 충족되지 않았음.
9027,이미 업적보상받음!!
9028,이미 일일임무보상받음!!
9029,디펜스를 모두 클리어 했어요.\n이어하기는 할 수 없어요.
9030,서버와 연결 할 수 없습니다.
9031,다른기기에서 연결 되었습니다.
9032,보스가 이미 도망가 버렸습니다.
9033,보스가 이미 사망하였습니다.
9034,유효한 계정이 아닙니다.
9035,이미 사용중인 닉네임입니다.
9036,유효하지 않은 계정입니다.
9037,닉네임을 찾을 수 없습니다.
9038,메달이 부족합니다.
9039,인벤토리를 더이상 확장 할 수 없습니다.
9040,합성이 실패하였습니다.
9041,재료인벤이 충분하지 않습니다.
9042,요청시간을 초과하였습니다.
9043,서버점검중 입니다.
9044,아직 팔지 않는 상품입니다.
9045,암거래 쿠폰이 부족해요.
9046,유효기간이 지난 쿠폰이예요
9047,이미 사용된 쿠폰입니다.
9048,쿠폰은 계정당 하루 1회만 사용 가능해요.
9049,쿠폰 입력횟수는 하루 최대 5회 입니다.
9050,쿠폰 코드가 유효하지 않아요!!
9051,이미 리뷰보상 받았습니다.
9052,비정상적인 클라이언트입니다.
9056,이미 탈퇴 처리된 계정입니다.
9057,존재하지 않는 계정입니다.
9058,하루에 요청가능한 친구수를 넘겼습니다.
9059,특수임무 보상을 받았습니다.
9060,이벤트기간이 종료 되었습니다.
9061,각성포인트가 부족합니다.
9062,능력치 최대 포인트는 1000 입니다.
9063,더 이상 친구가 아닙니다.
